phase,dataset,split,protocol,seed,config_tag,winner_model,winner_auroc,winner_ap,winner_brier,winner_ece
PHASE1_MAIN,A,S1,P0,2026,PHASE1_MAIN,xgb,0.9629989349366669,0.5783925977012722,0.015685595935958786,0.008372303209591089
PHASE1_MAIN,A,S1,P1,2026,PHASE1_MAIN,xgb,0.9622381817120251,0.5736139670812841,0.015631709847795997,0.006750267779564348
PHASE1_MAIN,A,S1,P2,2026,PHASE1_MAIN,xgb,0.9629989349366669,0.5783925977012722,0.015685595935958786,0.008372303209591089
PHASE1_MAIN,A,S1,P3,2026,PHASE1_MAIN,xgb,0.9579629013813747,0.5765618615367005,0.015624654022243011,0.007094211462334621
PHASE1_MAIN,A,S2,P0,2026,PHASE1_MAIN,xgb,0.9606045110487141,0.5605368949852357,0.01583181665291462,0.007512017622523748
PHASE1_MAIN,A,S2,P1,2026,PHASE1_MAIN,xgb,0.9599434365104467,0.5709938532543685,0.01564310047063195,0.007206530822153744
PHASE1_MAIN,A,S2,P2,2026,PHASE1_MAIN,xgb,0.9606045110487141,0.5605368949852357,0.01583181665291462,0.007512017622523748
PHASE1_MAIN,A,S2,P3,2026,PHASE1_MAIN,xgb,0.9568767491343578,0.5671271197918859,0.015750730914748677,0.007023723165551471
PHASE2_REPRO,A,S1,P0,1001,PHASE2_REPRO,xgb,0.962313061884726,0.5913195439228455,0.015457155396678673,0.007040229280303741
PHASE2_REPRO,A,S1,P0,1002,PHASE2_REPRO,xgb,0.9584969325772527,0.5790484732174256,0.01580988800445928,0.007445945594357603
PHASE2_REPRO,A,S1,P0,1003,PHASE2_REPRO,xgb,0.957184904434226,0.5708281837437431,0.01594735967966591,0.008066849109137667
PHASE2_REPRO,A,S1,P0,1004,PHASE2_REPRO,xgb,0.9584979903511458,0.5660304943333649,0.015858997458350666,0.006724066709180472
PHASE2_REPRO,A,S1,P0,1005,PHASE2_REPRO,xgb,0.9612149953548285,0.5760035494469381,0.015949017874926218,0.008260459762518381
PHASE2_REPRO,A,S1,P0,1006,PHASE2_REPRO,xgb,0.957580686870813,0.5696972295021567,0.016046083788720356,0.0076637975511919965
PHASE2_REPRO,A,S1,P0,1007,PHASE2_REPRO,xgb,0.960979673355466,0.5795996254077543,0.01580874821325679,0.007518728317716347
PHASE2_REPRO,A,S1,P0,1008,PHASE2_REPRO,xgb,0.9560826346285088,0.5704134930241949,0.016141319027982423,0.008740362698245598
PHASE2_REPRO,A,S1,P0,1009,PHASE2_REPRO,xgb,0.9627725221091822,0.5906412684681124,0.015646815816659908,0.007209479750534953
PHASE2_REPRO,A,S1,P0,1010,PHASE2_REPRO,xgb,0.9572535325953965,0.5798036141032928,0.015668540865592877,0.0071026850814615685
PHASE2_REPRO,A,S1,P0,1011,PHASE2_REPRO,xgb,0.9589911896194085,0.5782868027881969,0.015805988510160348,0.0065401827883051445
PHASE2_REPRO,A,S1,P0,1012,PHASE2_REPRO,xgb,0.9614237692073992,0.5856944356287628,0.015671495230724936,0.008698762464588715
PHASE2_REPRO,A,S1,P0,1013,PHASE2_REPRO,xgb,0.9595094793490299,0.5665980692213285,0.01603767828568812,0.008140514864203207
PHASE2_REPRO,A,S1,P0,1014,PHASE2_REPRO,xgb,0.9582911263380938,0.5664259283901686,0.015996707696159945,0.007378839672958662
PHASE2_REPRO,A,S1,P0,1015,PHASE2_REPRO,xgb,0.9567692868360929,0.5880708826939578,0.015555026986754516,0.007591620320673
PHASE2_REPRO,A,S1,P0,1016,PHASE2_REPRO,xgb,0.9559312430150918,0.5717061385950417,0.015932998129248598,0.00791442709260699
PHASE2_REPRO,A,S1,P0,1017,PHASE2_REPRO,xgb,0.9626520342154201,0.6026878937930685,0.015458047497733548,0.008364199490469511
PHASE2_REPRO,A,S1,P0,1018,PHASE2_REPRO,xgb,0.959103933264864,0.571242742878343,0.01586951533651468,0.006993071999358629
PHASE2_REPRO,A,S1,P0,1019,PHASE2_REPRO,xgb,0.9616491790330765,0.5916167386498183,0.015552408891453443,0.009236691466928194
PHASE2_REPRO,A,S1,P0,1020,PHASE2_REPRO,xgb,0.9583853503649141,0.5780559353659662,0.015740899969231666,0.008888398302421423
PHASE2_REPRO,A,S2,P0,1001,PHASE2_REPRO,xgb,0.9611472127970438,0.5624686498811928,0.015886714826511873,0.007067398117191606
PHASE2_REPRO,A,S2,P0,1002,PHASE2_REPRO,xgb,0.9587926656857924,0.5769799546749714,0.015757054416857635,0.009357516282859777
PHASE2_REPRO,A,S2,P0,1003,PHASE2_REPRO,xgb,0.9605882866283754,0.5725217936668768,0.015771252598447506,0.0073999972017216075
PHASE2_REPRO,A,S2,P0,1004,PHASE2_REPRO,xgb,0.9593947012475189,0.5640966209171807,0.015925687076247367,0.008104650109340224
PHASE2_REPRO,A,S2,P0,1005,PHASE2_REPRO,xgb,0.9625237148132693,0.5840587247273941,0.015607441037151826,0.006636661091996715
PHASE2_REPRO,A,S2,P0,1006,PHASE2_REPRO,xgb,0.9587576058809031,0.5705576275866131,0.015789939659667733,0.006232157507039923
PHASE2_REPRO,A,S2,P0,1007,PHASE2_REPRO,xgb,0.9612858121793122,0.5718096642227016,0.015698331881438835,0.006241321559264871
PHASE2_REPRO,A,S2,P0,1008,PHASE2_REPRO,xgb,0.9581951835861352,0.5686200781839285,0.01577672043106907,0.00660729277093384
PHASE2_REPRO,A,S2,P0,1009,PHASE2_REPRO,xgb,0.9613208513724067,0.581952314360854,0.015465782121028842,0.006770814421892257
PHASE2_REPRO,A,S2,P0,1010,PHASE2_REPRO,xgb,0.9605677651824915,0.5649398253163898,0.015857739311936132,0.007493025230281116
PHASE2_REPRO,A,S2,P0,1011,PHASE2_REPRO,xgb,0.9604659751618883,0.5717791278175361,0.015669450400018246,0.0069111137330440985
PHASE2_REPRO,A,S2,P0,1012,PHASE2_REPRO,xgb,0.958055775240626,0.5731222083517168,0.01576069941560538,0.007925539197789011
PHASE2_REPRO,A,S2,P0,1013,PHASE2_REPRO,xgb,0.9627400322365158,0.5667918994398754,0.015799560062218478,0.0062723298695925005
PHASE2_REPRO,A,S2,P0,1014,PHASE2_REPRO,xgb,0.9580631477855872,0.5750695444506243,0.015923062101117224,0.008515802783425577
PHASE2_REPRO,A,S2,P0,1015,PHASE2_REPRO,xgb,0.961150259750853,0.5698419675879285,0.015792352330366258,0.007063578239677594
PHASE2_REPRO,A,S2,P0,1016,PHASE2_REPRO,xgb,0.9614154514233574,0.5655148877795275,0.01588832779457175,0.006370620772622379
PHASE2_REPRO,A,S2,P0,1017,PHASE2_REPRO,xgb,0.9633091049387803,0.571843181481731,0.015794952639466994,0.008752696142974671
PHASE2_REPRO,A,S2,P0,1018,PHASE2_REPRO,xgb,0.9604880992436181,0.5695534940586986,0.01564927072803627,0.006950552686816621
PHASE2_REPRO,A,S2,P0,1019,PHASE2_REPRO,xgb,0.9632858173067129,0.5637653073443916,0.015739158683488866,0.0076169996109218124
PHASE2_REPRO,A,S2,P0,1020,PHASE2_REPRO,xgb,0.9603665778497733,0.5674129303885811,0.015650319840085032,0.006282811183475037
PHASE3_SYN_CONTROL,B_CLEAN,S1,P0,2040,PHASE3_SYN_CONTROL,xgb,0.9986844444444444,0.9965091934015803,0.012675316192091812,0.020492902104680983
PHASE3_SYN_CONTROL,B_CLEAN,S1,P1,2040,PHASE3_SYN_CONTROL,xgb,0.9986844444444444,0.9965091934015803,0.012675316192091812,0.020492902104680983
PHASE3_SYN_CONTROL,B_SYN_MISS,S1,P0,2040,PHASE3_SYN_CONTROL,xgb,0.9882074074074074,0.9700331478881348,0.032834308638020795,0.02724080068631641
PHASE3_SYN_CONTROL,B_SYN_MISS,S1,P1,2040,PHASE3_SYN_CONTROL,xgb,0.9871644444444444,0.9682237376630578,0.03383340696103024,0.025336996829110524
