split,seed,winner_model,winner_auroc,winner_ap,winner_brier,winner_ece
S1,1001,xgb,0.962313061884726,0.5913195439228455,0.015457155396678673,0.007040229280303741
S1,1002,xgb,0.9584969325772527,0.5790484732174256,0.01580988800445928,0.007445945594357603
S1,1003,xgb,0.957184904434226,0.5708281837437431,0.01594735967966591,0.008066849109137667
S1,1004,xgb,0.9584979903511458,0.5660304943333649,0.015858997458350666,0.006724066709180472
S1,1005,xgb,0.9612149953548285,0.5760035494469381,0.015949017874926218,0.008260459762518381
S1,1006,xgb,0.957580686870813,0.5696972295021567,0.016046083788720356,0.0076637975511919965
S1,1007,xgb,0.960979673355466,0.5795996254077543,0.01580874821325679,0.007518728317716347
S1,1008,xgb,0.9560826346285088,0.5704134930241949,0.016141319027982423,0.008740362698245598
S1,1009,xgb,0.9627725221091822,0.5906412684681124,0.015646815816659908,0.007209479750534953
S1,1010,xgb,0.9572535325953965,0.5798036141032928,0.015668540865592877,0.0071026850814615685
S1,1011,xgb,0.9589911896194085,0.5782868027881969,0.015805988510160348,0.0065401827883051445
S1,1012,xgb,0.9614237692073992,0.5856944356287628,0.015671495230724936,0.008698762464588715
S1,1013,xgb,0.9595094793490299,0.5665980692213285,0.01603767828568812,0.008140514864203207
S1,1014,xgb,0.9582911263380938,0.5664259283901686,0.015996707696159945,0.007378839672958662
S1,1015,xgb,0.9567692868360929,0.5880708826939578,0.015555026986754516,0.007591620320673
S1,1016,xgb,0.9559312430150918,0.5717061385950417,0.015932998129248598,0.00791442709260699
S1,1017,xgb,0.9626520342154201,0.6026878937930685,0.015458047497733548,0.008364199490469511
S1,1018,xgb,0.959103933264864,0.571242742878343,0.01586951533651468,0.006993071999358629
S1,1019,xgb,0.9616491790330765,0.5916167386498183,0.015552408891453443,0.009236691466928194
S1,1020,xgb,0.9583853503649141,0.5780559353659662,0.015740899969231666,0.008888398302421423
S2,1001,xgb,0.9611472127970438,0.5624686498811928,0.015886714826511873,0.007067398117191606
S2,1002,xgb,0.9587926656857924,0.5769799546749714,0.015757054416857635,0.009357516282859777
S2,1003,xgb,0.9605882866283754,0.5725217936668768,0.015771252598447506,0.0073999972017216075
S2,1004,xgb,0.9593947012475189,0.5640966209171807,0.015925687076247367,0.008104650109340224
S2,1005,xgb,0.9625237148132693,0.5840587247273941,0.015607441037151826,0.006636661091996715
S2,1006,xgb,0.9587576058809031,0.5705576275866131,0.015789939659667733,0.006232157507039923
S2,1007,xgb,0.9612858121793122,0.5718096642227016,0.015698331881438835,0.006241321559264871
S2,1008,xgb,0.9581951835861352,0.5686200781839285,0.01577672043106907,0.00660729277093384
S2,1009,xgb,0.9613208513724067,0.581952314360854,0.015465782121028842,0.006770814421892257
S2,1010,xgb,0.9605677651824915,0.5649398253163898,0.015857739311936132,0.007493025230281116
S2,1011,xgb,0.9604659751618883,0.5717791278175361,0.015669450400018246,0.0069111137330440985
S2,1012,xgb,0.958055775240626,0.5731222083517168,0.01576069941560538,0.007925539197789011
S2,1013,xgb,0.9627400322365158,0.5667918994398754,0.015799560062218478,0.0062723298695925005
S2,1014,xgb,0.9580631477855872,0.5750695444506243,0.015923062101117224,0.008515802783425577
S2,1015,xgb,0.961150259750853,0.5698419675879285,0.015792352330366258,0.007063578239677594
S2,1016,xgb,0.9614154514233574,0.5655148877795275,0.01588832779457175,0.006370620772622379
S2,1017,xgb,0.9633091049387803,0.571843181481731,0.015794952639466994,0.008752696142974671
S2,1018,xgb,0.9604880992436181,0.5695534940586986,0.01564927072803627,0.006950552686816621
S2,1019,xgb,0.9632858173067129,0.5637653073443916,0.015739158683488866,0.0076169996109218124
S2,1020,xgb,0.9603665778497733,0.5674129303885811,0.015650319840085032,0.006282811183475037
